id,iforestGoScore,anomalyLabel
0,0.118047,0
1,0.127309,0
2,0.089128,0
3,0.138265,0
4,0.133096,0
5,0.127186,0
6,0.146869,0
7,0.109739,0
8,0.156177,0
9,0.128330,0
10,0.131261,0
11,0.114710,0
12,0.059375,1
13,0.122331,0
14,0.153393,0
15,0.124808,0
16,0.122516,0
17,0.130312,0
18,0.146905,0
19,0.146493,0
20,0.053145,1
21,0.104831,0
22,0.150151,0
23,0.137890,0
24,0.134186,0
25,0.097185,0
26,0.148049,0
27,0.085172,0
28,0.045519,1
29,0.142833,0
30,0.098180,0
31,0.106057,0
32,0.134045,0
33,0.133010,0
34,0.116284,0
35,0.127690,0
36,0.132299,0
37,0.115191,0
38,0.123957,0
39,0.136845,0
40,0.155669,0
41,0.138662,0
42,0.143318,0
43,0.143401,0
44,0.130393,0
45,0.135233,0
46,0.129325,0
47,0.118544,0
48,0.137137,0
49,0.124355,0
50,0.140401,0
51,0.063163,1
52,0.103368,0
53,0.131339,0
54,0.120021,0
55,0.110338,0
56,0.069142,1
57,0.147648,0
58,0.103736,0
59,0.143898,0
60,0.074749,1
61,0.134639,0
62,0.132638,0
63,0.061914,1
64,0.124962,0
65,0.126599,0
66,0.125267,0
67,0.146461,0
68,0.069288,1
69,0.095324,0
70,0.135070,0
71,0.124003,0
72,0.154401,0
73,0.128090,0
74,0.134346,0
75,0.120561,0
76,0.109218,0
77,0.138919,0
78,0.148580,0
79,0.122289,0
80,0.117689,0
81,0.116044,0
82,0.092393,0
83,0.125680,0
84,0.106850,0
85,0.123860,0
86,0.101708,0
87,0.134308,0
88,0.090306,0
89,0.116659,0
90,0.132716,0
91,0.108096,0
92,0.146589,0
93,0.129729,0
94,0.134508,0
95,0.121457,0
96,0.134717,0
97,0.127085,0
98,0.133221,0
99,0.149162,0
100,0.138617,0
101,0.119791,0
102,0.150028,0
103,0.133603,0
104,0.149966,0
105,0.140150,0
106,0.128306,0
107,0.114287,0
108,0.056178,1
109,0.121808,0
110,0.126452,0
111,0.036458,1
112,0.153825,0
113,0.138993,0
114,0.052375,1
115,0.136562,0
116,0.136412,0
117,0.091298,0
118,0.125331,0
119,0.095191,0
120,0.075648,1
121,0.028504,1
122,0.112969,0
123,0.113184,0
124,0.153979,0
125,0.137600,0
126,0.126175,0
127,0.112784,0
128,0.144000,0
129,0.130405,0
130,0.134893,0
131,0.126215,0
132,0.149093,0
133,0.143859,0
134,0.112931,0
135,0.100366,0
136,0.132371,0
137,0.138101,0
138,0.134693,0
139,0.131710,0
140,0.134160,0
141,0.117547,0
142,0.137961,0
143,0.116909,0
144,0.131993,0
145,0.122606,0
146,0.105896,0
147,0.130934,0
148,0.145716,0
149,0.083735,1
150,0.127086,0
151,0.129775,0
152,0.154500,0
153,0.149425,0
154,0.124766,0
155,0.127700,0
